site,pollutant,commissioned_from,commissioned_to,expected_hours,observed_hours,downtime_hours,uptime_pct
Keighley,PM10,2024-11-01 01:00:00,2025-01-17 00:00:00,1848,1793,55,97.02
Keighley,PM2.5,2024-11-01 01:00:00,2025-01-17 00:00:00,1848,1802,46,97.51
Tong Street,PM10,2024-11-01 01:00:00,2025-01-03 10:00:00,1522,1466,56,96.32
Tong Street,PM2.5,2024-11-01 01:00:00,2025-01-03 10:00:00,1522,1438,84,94.48
Treadwell Mills,PM10,2024-12-21 01:00:00,2025-01-17 00:00:00,648,648,0,100.0
Treadwell Mills,PM2.5,2024-12-21 01:00:00,2025-01-17 00:00:00,648,648,0,100.0
