site,max_datetime,max_value,min_datetime,min_value,pollutant
Bradford Keighley,2025-01-16 21:00:00,261.0,2025-01-05 10:00:00,0.0,PM10
Bradford Keighley,2024-11-06 00:00:00,97.5,2025-01-06 09:00:00,0.0,PM25
Bradford Tong Street,2024-12-17 15:00:00,204.0,2024-12-07 23:00:00,0.0,PM10
Bradford Tong Street,2024-12-17 15:00:00,164.3,2024-12-08 04:00:00,0.0,PM25
Bradford Treadwell Mills,2025-01-16 19:00:00,329.2,2024-12-25 07:00:00,0.3,PM10
Bradford Treadwell Mills,2025-01-16 19:00:00,65.7,2024-12-25 07:00:00,0.3,PM25
